Date,price
1,34990
2,25999
3,25999
4,25999
5,27999
6,34990
7,27999
8,25999
9,25999
10,25999
11,27999
12,25999
13,26778
14,26778
15,26911
16,24999
17,24999
18,24999
19,24999
20,24999
21,26911
22,25999
23,25999
24,25999
25,25999
26,25999
27,25999
28,25999
29,25999
30,25999
31,25999
32,25999
33,25999
34,25999
35,25999
36,24999
37,24999
38,24999
39,24999
40,24999
41,24999
42,24999
43,24999
44,24999
45,24999
46,24999
47,24999
48,24999
49,24999
50,24999
51,24999
52,24999
53,24999
54,24999
55,24999
56,24999
57,24999
58,24999
59,24999
60,24999
61,24999
62,24999
63,24999
64,34990
65,21999
66,21999
67,21999
68,22999
69,22999
70,22999
71,22999
72,22999
73,22999
74,22999
75,22999
76,22999
77,22999
78,22999
79,22999
80,22999
81,22999
82,22999
83,22999
84,22999
85,22999
86,22999
87,22999
88,22999
89,22999
90,22999
91,22999
92,22999
93,22999
94,22999
95,22999
96,22999
97,22999
98,22999
99,22999
100,22999
101,22999
102,22999
103,22999
104,22999
105,22999
106,22999
107,25999
108,25999
109,25999
110,25999
111,24999
112,24999
113,24999
114,25999
115,25999
116,25999
117,25999
118,25999
119,25999
120,25999
121,25999
122,25999
123,25999
124,25999
125,25999
126,25999
127,23999
128,23999
129,23999
130,23999
131,23999
132,23999
133,25999
134,24999
135,24999
136,24999
137,24999
138,24999
139,24999
140,24999
141,24999
142,24999
143,24999
144,24999
145,24999
146,24999
147,24999
148,23999
149,23999
150,23999
151,23999
152,23999
153,23999
154,24999
155,24999
156,24999
157,24999
158,24999
159,24999
160,24999
161,24999
162,24999
163,24999
164,24999
165,24999
166,24999
167,24999
168,24999
169,24999
170,24999
171,24999
172,24999
173,24999
174,24999
175,24999
176,24999
177,24999
178,22999
179,22999
180,22999
181,22999
182,22999
183,21999
184,22999
185,22999
186,22999
187,22999
188,22999
189,22999
190,22999
191,22999
192,21999
193,21999
194,24999
195,24999
196,24999
197,24999
198,24999
199,24999
200,24999
201,24999
202,24999
203,24999
204,24999
205,24999
206,24999
207,24999
208,24999
209,24999
210,24999
211,24999
212,24999
213,24999
214,24999
215,22999
216,22999
217,22999
218,22999
219,22743
220,22743
221,22999
222,22999
