Date,price
1,28999
2,28999
3,28999
4,28999
5,28999
6,28999
7,28999
8,28999
9,28999
10,28999
11,28999
12,28999
13,28999
14,28999
15,28999
16,28999
17,28990
18,28990
19,28999
20,28999
21,28999
22,28999
23,28999
24,28999
25,28999
26,28999
27,28999
28,28999
29,28999
30,28999
31,28999
32,28999
33,28999
34,28999
35,28999
36,28999
37,28999
38,28999
39,28999
40,28999
41,28999
42,28999
43,28999
44,28999
45,28999
46,28999
47,28999
48,28999
49,28999
50,28999
51,28999
52,28999
53,28999
54,28999
55,28999
56,28999
57,28999
58,28999
59,28999
60,28999
61,28999
62,28999
63,28999
64,28999
65,28999
66,28999
67,28999
68,28999
69,28999
70,28999
71,28999
72,28999
73,28999
74,28999
75,28999
76,28999
77,28999
78,28999
79,28999
80,28999
81,28999
82,28999
83,28999
84,28999
85,28999
86,28999
87,28999
88,28999
89,28999
90,28999
91,28999
92,28999
93,28999
94,28999
95,28999
96,28999
97,28999
98,28999
99,28999
100,28999
101,28999
102,28999
103,28999
104,28999
105,28999
106,28999
107,28999
108,28999
109,28999
110,28999
111,28999
112,28999
113,28999
114,28999
115,28999
116,28999
117,28999
118,28999
119,28999
120,28999
121,28999
122,28999
123,28999
124,28999
125,28999
126,28999
127,28999
128,28999
129,28999
130,28999
131,28999
132,28999
133,28999
134,28999
135,28999
136,28999
137,28999
138,28999
139,28999
140,28999
141,28999
142,28999
143,28999
144,28999
145,28999
146,28999
147,28999
148,28999
149,28999
150,28999
151,28999
152,28999
153,28999
154,27999
155,28999
156,28999
157,28999
158,28999
159,28999
160,28999
161,28999
162,28999
163,28999
164,28999
165,28999
166,28999
167,28999
168,28999
169,28999
170,28999
171,28999
172,28999
173,28999
174,28999
175,28999
176,28999
177,28999
178,28999
179,27999
180,27999
181,27999
182,27999
183,27999
184,27999
185,27999
186,27999
187,27999
188,27999
189,27999
190,27999
191,27999
192,28999
193,28999
194,28999
195,28999
196,28999
197,28999
198,28999
199,28999
200,28999
201,28999
202,28999
203,28999
204,28999
205,28999
206,28999
207,28999
208,28999
209,28999
210,28999
211,28999
212,28999
213,28999
214,28999
215,28999
216,28999
217,28999
218,28999
219,28999
220,28999
221,28999
222,28999
223,28999
224,28999
225,28999
226,28999
227,28999
228,28999
229,28999
230,28999
231,28999
232,28999
233,28999
234,28999
235,28999
236,28999
237,28999
238,28999
239,28999
240,28999
241,28999
242,28999
243,28999
244,28999
245,28999
246,28999
247,28999
248,28999
249,28999
250,28999
251,27999
252,27999
253,27999
254,27999
255,27999
256,27999
257,27999
258,27999
259,27999
260,27999
261,27999
262,27999
263,27999
264,27999
265,27999
266,27999
267,27999
268,27999
269,27999
270,27999
271,27999
272,27999
273,28999
274,28999
275,28999
276,28999
277,28999
278,28999
279,28999
280,28999
281,28999
282,28999
283,28999
284,28999
285,28999
286,28999
287,28999
288,28999
289,28999
290,28999
291,28999
292,28999
293,28999
294,28999
295,28999
296,28999
297,28999
298,28999
299,28999
300,28999
