Date,price
1,27999
2,25799
3,25799
4,25799
5,25799
6,25799
7,25799
8,25799
9,25799
10,25799
11,25799
12,25799
13,25799
14,25799
15,25799
16,25799
17,25799
18,25799
19,25799
20,25799
21,25799
22,25799
23,25799
24,25799
25,25799
26,25799
27,25799
28,25799
29,25799
30,25799
31,25799
32,25799
33,25799
34,25799
35,25799
36,25799
37,25799
38,25799
39,25799
40,25799
41,25799
42,25799
43,25799
44,25799
45,25799
46,25799
47,25799
48,25799
49,25799
50,25799
51,25799
52,25799
53,25799
54,25799
55,25799
56,25799
57,25799
58,25799
59,25799
60,25799
61,25799
62,25799
63,25799
64,25799
65,25799
66,25799
67,25799
68,25799
69,25799
70,25799
71,25799
72,25799
73,25799
74,25799
75,25799
76,25799
77,25799
78,25799
79,25799
80,25799
81,25799
82,25799
83,25799
84,25799
85,25799
86,25799
87,25799
88,25799
89,25799
90,25799
91,25799
92,25799
93,25799
94,25799
95,25799
96,25799
97,25799
98,25799
99,25799
100,25799
101,25799
102,25799
103,25799
104,25799
105,25799
106,25799
107,25799
108,25799
109,25799
110,25799
111,25799
112,25799
113,25799
114,25799
115,25799
116,25799
117,25799
118,25799
119,25799
120,27990
121,27990
122,27990
123,27990
124,27990
125,27990
126,27990
127,27990
128,27990
129,27990
130,27990
131,27990
132,27990
133,27990
134,27990
135,27990
136,27990
137,27990
138,27990
139,27990
140,27990
141,27990
142,27990
143,27990
144,27990
145,27990
146,27990
147,27990
148,27990
149,27990
150,27990
151,27990
152,27990
153,27990
154,27990
155,27990
156,27990
157,27990
158,27990
159,27990
160,27990
161,27990
162,27990
163,27990
164,27990
165,27990
166,27990
167,27990
168,27990
169,27990
170,27990
171,27990
172,27990
173,27990
174,27990
175,27990
176,27990
177,27990
178,27990
179,27990
180,27990
181,27990
182,27990
183,27990
184,27990
185,27990
186,27990
187,27990
188,27990
189,27990
190,27990
191,27990
192,27990
193,27990
194,27990
195,27990
196,27990
197,27990
198,27990
199,27990
200,27990
201,27990
202,27990
203,27990
204,27990
205,27990
206,27990
207,25999
208,25999
209,25999
210,25999
211,25999
212,25999
213,25999
214,25999
215,25999
216,25999
217,25999
218,25999
219,25999
220,25999
221,25999
222,25999
223,25999
224,25999
225,25999
226,25999
227,25999
228,25999
229,25999
230,25999
231,25999
232,25999
233,25999
234,25999
235,25999
236,25999
237,25999
238,25999
239,25999
240,25999
241,25999
242,25999
243,25999
244,25999
245,25999
246,25999
247,25999
248,25999
249,25999
250,25999
251,25999
252,25999
253,25999
254,25999
255,25999
256,25999
257,25999
258,25999
259,25999
260,25999
261,25999
262,25999
263,25999
264,25999
265,25999
266,25999
267,25999
268,25999
269,25999
270,25999
271,25999
272,25999
273,25999
274,25999
275,25999
276,25999
277,25999
278,25999
279,25999
280,25999
281,25999
282,25999
283,25999
284,25999
285,25999
286,25999
287,25999
288,25999
289,25999
290,25999
291,25999
292,25999
293,25999
294,25999
295,25999
296,25999
297,25999
298,25999
299,25999
300,25999
301,25999
302,25999
303,25999
304,25999
305,25999
306,25999
307,25999
308,25999
309,25999
310,25999
311,25999
312,25999
313,25999
314,25999
315,25999
316,25999
317,25999
318,25999
319,25999
320,25999
321,25999
322,25999
323,25999
324,25999
325,25999
326,25999
327,25999
328,25999
329,25999
330,25999
331,25999
332,25999
333,25999
334,25999
335,25999
336,25999
337,25999
338,25999
339,25999
340,25999
341,25999
342,25999
343,25999
344,25999
345,25999
346,25999
347,25999
348,25999
349,25999
350,25999
351,25999
352,25999
353,25999
354,25999
355,25999
356,25999
357,25999
358,25999
359,25999
360,25999
361,25999
362,25999
363,25999
364,25999
365,25999
