Date,price
1,14999
2,14999
3,14999
4,14999
5,14999
6,14999
7,14999
8,14999
9,14999
10,14999
11,14999
12,14999
13,14999
14,14999
15,14999
16,14999
17,14999
18,14999
19,14999
20,14999
21,14999
22,14999
23,14999
24,14999
25,14999
26,14999
27,14999
28,14999
29,14999
30,14999
31,14999
32,14999
33,14999
34,14999
35,14999
36,14999
37,14999
38,14999
39,14999
40,14999
41,14999
42,14999
43,14999
44,14999
45,14999
46,14999
47,14999
48,14999
49,14999
50,14999
51,14999
52,14999
53,14999
54,14999
55,14999
56,14999
57,14999
58,14999
59,14999
60,14999
61,14999
62,14999
63,14999
64,14999
65,14999
66,14999
67,14999
68,14999
69,14999
70,14999
71,14999
72,14999
73,14999
74,14999
75,14999
76,14999
77,14999
78,14999
79,14999
80,14999
81,14999
82,14999
83,14999
84,14999
85,14999
86,14999
87,14999
88,14999
89,14999
90,14999
91,14999
92,14999
93,14999
94,14999
95,14999
96,14999
97,14999
98,14999
99,14999
100,14999
101,14999
102,14999
103,14999
104,14999
105,14999
106,14999
107,14999
108,14999
109,14999
110,14999
111,14999
112,14999
113,14999
114,14999
115,14999
116,14999
117,14999
118,14999
119,14999
120,14999
121,14999
122,14999
123,14999
124,14999
125,14999
126,14999
127,14999
128,14999
129,14999
130,14999
131,14999
132,14999
133,14999
134,14999
135,14999
136,14999
137,14999
138,14999
139,14999
140,14999
141,14999
142,14999
143,14999
144,14999
145,14999
146,14999
147,14999
148,14999
149,14999
150,14999
151,14999
152,14999
153,14999
154,14999
155,14999
156,14999
157,14999
158,14999
159,14670
160,14670
161,14999
162,14670
163,13500
164,14999
165,13499
166,14670
167,14670
168,14670
169,14670
170,14670
171,14670
172,14670
173,13499
174,13399
175,13499
176,13399
177,13499
178,13499
179,13499
180,13499
181,14999
182,13399
183,14999
184,13399
185,14999
186,13399
187,13399
188,13399
189,13399
190,13399
191,13399
192,13399
193,13399
194,13399
195,13399
196,13399
197,13399
198,14999
199,13999
200,14999
201,13999
202,14999
203,13999
204,14999
205,13999
206,13399
207,14999
